timestamp,type,metric,value,details
1765008460915,AUTH,Login_Attempt,1.069,Success
1765008460929,AUTH,Handshake_Time,30,Device_publisher-1765008460800
1765008460936,AUTH,Login_Attempt,0.205,Success
1765008465971,CRYPTO,Encryption_Time,1.2550,Speck128
1765008465973,CRYPTO,Encryption_Time,0.3218,Speck128
1765008465975,CRYPTO,Decryption_Time,0.5224,Speck128
1765008465997,CRYPTO,Decryption_Time,0.1821,Speck128
1765008470979,CRYPTO,Encryption_Time,0.6208,Speck128
1765008470980,CRYPTO,Encryption_Time,0.2616,Speck128
1765008470981,CRYPTO,Decryption_Time,0.2038,Speck128
1765008470982,CRYPTO,Decryption_Time,0.2406,Speck128
1765008473406,CRYPTO,Encryption_Time,0.3476,Speck128
1765008473408,CRYPTO,Decryption_Time,0.2626,Speck128
1765008473409,NETWORK,E2E_Latency,3,Normal
1765008474424,CRYPTO,Encryption_Time,3.5240,Speck128
1765008474439,CRYPTO,Decryption_Time,0.8098,Speck128
1765008474446,NETWORK,E2E_Latency,23,Normal
1765008475424,CRYPTO,Encryption_Time,0.6068,Speck128
1765008475429,CRYPTO,Decryption_Time,0.3949,Speck128
1765008475430,NETWORK,E2E_Latency,6,Normal
1765008475983,CRYPTO,Encryption_Time,0.8678,Speck128
1765008475987,CRYPTO,Encryption_Time,0.7330,Speck128
1765008475991,CRYPTO,Decryption_Time,0.6895,Speck128
1765008475997,CRYPTO,Decryption_Time,0.8163,Speck128
1765008476435,CRYPTO,Encryption_Time,0.3709,Speck128
1765008476439,CRYPTO,Decryption_Time,0.3201,Speck128
1765008476440,NETWORK,E2E_Latency,4,Normal
1765008477438,CRYPTO,Encryption_Time,0.3561,Speck128
1765008477440,CRYPTO,Decryption_Time,0.1750,Speck128
1765008477441,NETWORK,E2E_Latency,3,Normal
1765008478451,CRYPTO,Encryption_Time,0.9095,Speck128
1765008478460,CRYPTO,Decryption_Time,0.3773,Speck128
1765008478462,NETWORK,E2E_Latency,11,Normal
1765008479465,CRYPTO,Encryption_Time,0.5061,Speck128
1765008479473,CRYPTO,Decryption_Time,0.6857,Speck128
1765008479476,NETWORK,E2E_Latency,12,Normal
1765008480477,CRYPTO,Encryption_Time,0.6522,Speck128
1765008480523,CRYPTO,Decryption_Time,4.2100,Speck128
